feature,auc,abs_auc_dev,mean_pos,mean_neg
txt_n_words,0.39900970662924357,0.10099029337075643,26.069767441860463,29.213362068965516
nov_review_overlap,0.5855052125100241,0.08550521251002408,0.09351527057679414,0.08081296445998759
nov_semantic_distance,0.5811572774659183,0.08115727746591828,0.7479123383562213,0.7248096197537884
nov_nn_sim,0.41884272253408183,0.08115727746591817,0.2520876616437788,0.2751903802462116
ev_top1_sim,0.41884272253408183,0.08115727746591817,0.2520876616437788,0.2751903802462116
ev_n_similar,0.572517792702486,0.07251779270248604,17.218992248062015,11.053879310344827
txt_specificity,0.4279332898957498,0.0720667101042502,0.5968992248062015,0.8836206896551724
nov_pair_doc_count,0.5667393410852712,0.06673934108527124,3.567829457364341,2.2370689655172415
ev_age_mean,0.4346013766372628,0.06539862336273722,2.8755813953488376,3.1342672413793102
ev_n_instruments,0.4421653635391607,0.057834636460839306,2.488372093023256,2.814655172413793
ev_recency_share,0.5506611701416734,0.05066117014167337,0.4905038759689922,0.44892241379310344
ev_age_std,0.4497899124565624,0.05021008754343759,1.9481165219858627,2.0274888422137742
fal_quant_threshold,0.4516673349371826,0.048332665062817415,0.13178294573643412,0.22844827586206898
txt_n_numbers,0.4517487804063085,0.0482512195936915,0.22286821705426357,0.4267241379310345
nov_mean_top10_sim,0.5478481689387864,0.047848168938786406,0.17625661421901104,0.16896563416904548
ev_native_year_spread,0.45218733293237107,0.04781266706762893,1.5484496124031009,1.9849137931034482
ev_has_native_record,0.4530874097834804,0.04691259021651961,0.3372093023255814,0.43103448275862066
nov_new_pair,0.45909349104517505,0.04090650895482495,0.40310077519379844,0.4849137931034483
ev_tension_density,0.4643060010692328,0.03569399893076719,0.1844961240310078,0.19913793103448277
ev_native_n_papers,0.4672338612670409,0.03276613873295908,1.2209302325581395,1.4331896551724137
txt_has_measurable,0.4681819700614809,0.03181802993851912,0.3178294573643411,0.38146551724137934
fal_outcome_variable,0.4681819700614809,0.03181802993851912,0.3178294573643411,0.38146551724137934
txt_n_entities,0.46852445870088216,0.03147554129911784,0.06395348837209303,0.15948275862068967
env_years_to_next_facility,0.5304606054530874,0.030460605453087375,3.5775193798449614,3.3038793103448274
env_facility_within_3y,0.4763599304998663,0.023640069500133698,0.5949612403100775,0.6422413793103449
txt_has_mechanism,0.5230636861801657,0.023063686180165743,0.24224806201550386,0.1961206896551724
txt_is_yesno,0.4852145148356055,0.014785485164394485,0.05232558139534884,0.08189655172413793
fal_quant_test,0.4856823041967388,0.014317695803261199,0.21705426356589147,0.24568965517241378
tra_longitudinal,0.5143176958032611,0.014317695803261143,0.03294573643410853,0.004310344827586207
tra_n_facilities_mentioned,0.48662623630045443,0.013373763699545571,0.044573643410852716,0.08189655172413793
fal_named_dataset,0.4868350708366747,0.01316492916332529,0.04263565891472868,0.06896551724137931
env_growth_ratio,0.5126908747661053,0.012690874766105309,1.7257510960586764,1.4921727349845806
env_review_count_3y,0.4875346665330126,0.012465333466987416,14.358527131782946,14.482758620689655
tra_needs_theory,0.4875367548783748,0.012463245121625222,0.16472868217054262,0.1896551724137931
ev_top5_mean_sim,0.5098611668003208,0.009861166800320786,0.19824225927419975,0.1965612424225162
txt_has_comparison,0.49085304731355256,0.00914695268644744,0.22093023255813954,0.23922413793103448
tra_n_facilities_operational,0.49097417134456034,0.00902582865543966,0.044573643410852716,0.07112068965517242
fal_falsification_path,0.5080025394279604,0.008002539427960365,0.43410852713178294,0.41810344827586204
env_pub_volume_3y,0.5078751503608661,0.007875150360866057,1964.8236434108528,1899.5711206896551
fal_observable,0.4924986634589682,0.0075013365410318,0.9031007751937985,0.9181034482758621
fal_competing_llm,0.506594994653836,0.0065949946538359505,0.22286821705426357,0.15948275862068967
env_pub_share_3y,0.5065386093290565,0.006538609329056477,0.04334115279205807,0.042110948818168126
tra_mentions_future_facility,0.49461206896551724,0.0053879310344827624,0.0,0.010775862068965518
tra_needs_new_instrument,0.4956896551724138,0.004310344827586188,0.0,0.008620689655172414
txt_has_falsification,0.50344159315691,0.00344159315690995,0.015503875968992248,0.008620689655172414
tra_archival_data,0.49676724137931033,0.0032327586206896686,0.0,0.00646551724137931
fal_competing_rule,0.5025811948676824,0.0025811948676823793,0.011627906976744186,0.00646551724137931
txt_has_alternatives,0.5025811948676824,0.0025811948676823793,0.011627906976744186,0.00646551724137931
txt_has_causal,0.5018126837743919,0.001812683774391921,0.29457364341085274,0.29094827586206895
tra_sample_scale,0.49880546645282015,0.0011945335471798546,0.02131782945736434,0.023706896551724137
